Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PFI-Utilities,Chrome 86.0.4240.111,,,2020-10-26 18:59:30,2020-10-26 19:09:04,9m - 34.185s,PASSED
,,,,,,,
Test Cases/PFI Precision and Scale/PFI Test Cases/PFI - Utilities/Utilities.CreateNewBldgGroup,Chrome 86.0.4240.111,,,2020-10-26 18:59:31,2020-10-26 19:09:04,9m - 32.651s,PASSED
"callTestCase(findTestCase(""Components/LoginV2.0""), [""LinkToBeUsed"":findTestData(""Datatable"").getValue(""URL"", 2), ""LoginPageTextToBeVerified"":""Sign in to ISPS2-SG-UAT"", ""Username"":""sysadmin"", ... ], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Login from ISPS2.,,2020-10-26 18:59:33,2020-10-26 19:00:06,32.845s,PASSED
"callTestCase(findTestCase(""Components/OpenHomepageMenu""), [:], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Open HomePage Menu.,,2020-10-26 19:00:06,2020-10-26 19:00:15,9.104s,PASSED
"callTestCase(findTestCase(""Components/HoverToAnyMenuSelection""), [""MenuSelection"":""Utilities""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Hover to Utilities.,,2020-10-26 19:00:15,2020-10-26 19:00:18,3.248s,PASSED
"callTestCase(findTestCase(""Components/HoverToAnyMenuSelection""), [""MenuSelection"":""PFI""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Hover to PFI.,,2020-10-26 19:00:18,2020-10-26 19:00:20,2.231s,PASSED
"callTestCase(findTestCase(""Components/HoverToAnyMenuSelection""), [""MenuSelection"":""Create New Building Group""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Hover to Create New Building Group.,,2020-10-26 19:00:20,2020-10-26 19:00:22,1.764s,PASSED
"callTestCase(findTestCase(""Components/ClickLink""), [""LinkToModify"":""Create New Building Group""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click Create New Building Group.,,2020-10-26 19:00:22,2020-10-26 19:00:28,6.516s,PASSED
"callTestCase(findTestCase(""Components/ClickBlueButtonsWithXPI""), [""Button"":""Create New Group"", ""Index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click Create New Group button.,,2020-10-26 19:00:28,2020-10-26 19:00:32,3.562s,PASSED
"callTestCase(findTestCase(""Components/VerifyTextPresentInPage""), [""TextToModify"":""Please enter at least one (CSC, Created Date, Last Inspection) for this building group."", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight error message.,,2020-10-26 19:00:32,2020-10-26 19:00:43,11.086s,PASSED
"callTestCase(findTestCase(""Components/ClickElement""), [""nameToBeUsed"":""grpBldType"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click input field.,,2020-10-26 19:00:43,2020-10-26 19:00:47,3.415s,PASSED
"callTestCase(findTestCase(""Components/ClickElement""), [""nameToBeUsed"":""gradeTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click input field.,,2020-10-26 19:00:47,2020-10-26 19:00:48,1.822s,PASSED
"callTestCase(findTestCase(""Components/ClickElement""), [""nameToBeUsed"":""topCscDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click input field.,,2020-10-26 19:00:48,2020-10-26 19:00:50,1.774s,PASSED
"callTestCase(findTestCase(""Components/ClickElement""), [""nameToBeUsed"":""ownerTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click input field.,,2020-10-26 19:00:50,2020-10-26 19:00:52,2.051s,PASSED
"callTestCase(findTestCase(""Components/ClickElement""), [""nameToBeUsed"":""grpDesc"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click input field.,,2020-10-26 19:00:52,2020-10-26 19:00:54,1.802s,PASSED
"callTestCase(findTestCase(""Components/ClickElement""), [""nameToBeUsed"":""lastInspDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click input field.,,2020-10-26 19:00:54,2020-10-26 19:00:55,1.486s,PASSED
"callTestCase(findTestCase(""Components/ClickElement""), [""nameToBeUsed"":""createdDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click input field.,,2020-10-26 19:00:55,2020-10-26 19:00:57,1.581s,PASSED
"callTestCase(findTestCase(""Components/ClickRadioButton""), [""Index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:00:57,2020-10-26 19:01:03,6.033s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""grpBldType"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:01:03,2020-10-26 19:01:15,11.479s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""gradeTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:01:15,2020-10-26 19:01:17,2.850s,PASSED
"callTestCase(findTestCase(""Components/ScrollPageDown""), [""textToBeUsed"":""Create New Group"", ""tagToBeUsed"":""span""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Scroll page.,,2020-10-26 19:01:17,2020-10-26 19:01:22,4.711s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""topCscDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:01:22,2020-10-26 19:01:25,2.705s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""ownerTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:01:25,2020-10-26 19:01:28,3.000s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""grpDesc"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:01:28,2020-10-26 19:01:31,2.764s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""lastInspDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:01:31,2020-10-26 19:01:33,2.718s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""createdDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:01:33,2020-10-26 19:01:36,2.740s,PASSED
"callTestCase(findTestCase(""Components/HighlightLabelField""), [""LblName"":""Create New Building Group""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that the page is successfully loaded,,2020-10-26 19:01:36,2020-10-26 19:01:41,4.920s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""bpNo"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:01:41,2020-10-26 19:01:45,3.984s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/AlphaNumericSpecialValidationIndex""), [""FldNm"":""bpNo"", ""LenChar"":6, ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that field accepts alphanumeric values.,,2020-10-26 19:01:45,2020-10-26 19:01:48,2.983s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/MaxCharLengthIndexValidation""), [""FieldNm"":""bpNo"", ""index"":1, ""MaxCharLen"":4005], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the maximum chars of the input field.,,2020-10-26 19:01:48,2020-10-26 19:01:59,10.721s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":1, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:01:59,2020-10-26 19:02:00,1.695s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""grpName"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:02:00,2020-10-26 19:02:02,1.856s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/AlphaNumericSpecialValidationIndex""), [""FldNm"":""grpName"", ""LenChar"":6, ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that field accepts alphanumeric values.,,2020-10-26 19:02:02,2020-10-26 19:02:03,0.647s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/MaxCharLengthIndexValidation""), [""FieldNm"":""grpName"", ""index"":1, ""MaxCharLen"":4005], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the maximum chars of the input field.,,2020-10-26 19:02:03,2020-10-26 19:02:12,8.842s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":2, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:12,2020-10-26 19:02:13,0.872s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""grpBldType"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:02:13,2020-10-26 19:02:16,3.725s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""grpBldType"", ""index"":1, ""NoOfVal"":9, ""DelayTime"":2, ""ColNm"":""NAME"", ""DBTbl"":""PV_CODE_EXT"", ""Condition1"":""CATEGORY = 'PFI_BUILDING_TYPE' and NAME =""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:16,2020-10-26 19:02:51,34.724s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":3, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:51,2020-10-26 19:02:54,2.925s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""gradeTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:02:54,2020-10-26 19:02:57,3.529s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""gradeTypeCd"", ""index"":1, ""NoOfVal"":5, ""DelayTime"":2, ""ColNm"":""NAME"", ""DBTbl"":""PV_CODE_EXT"", ""Condition1"":""CATEGORY = 'PFI_GRADE_TYPE' and NAME =""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:57,2020-10-26 19:03:16,18.275s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":4, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:16,2020-10-26 19:03:18,2.434s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""grpBldCat"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:03:18,2020-10-26 19:03:21,3.220s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""grpBldCat"", ""index"":1, ""NoOfVal"":5, ""DelayTime"":2, ""ColNm"":""NAME"", ""DBTbl"":""PV_CODE_EXT"", ""Condition1"":""CATEGORY = 'PFI_BLDG_CATEGORY' and NAME = ""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:21,2020-10-26 19:03:40,18.502s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":5, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:40,2020-10-26 19:03:43,3.048s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""agency"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:03:43,2020-10-26 19:03:46,3.180s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""agency"", ""index"":1, ""NoOfVal"":16, ""DelayTime"":2, ""ColNm"":""AGENCY_DESC"", ""DBTbl"":""VXPFI_AGENCies"", ""Condition1"":""AGENCY_DESC =""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:46,2020-10-26 19:04:41,54.556s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":6, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:04:41,2020-10-26 19:04:43,2.551s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""agencyOwner"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:04:43,2020-10-26 19:04:46,3.131s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/CommonComboBox""), [""FldNm"":""agencyOwner"", ""NoOfOpt"":3], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify values in combo box.,,2020-10-26 19:04:46,2020-10-26 19:04:51,4.496s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":7, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:04:51,2020-10-26 19:04:54,2.854s,PASSED
